seq_len,fusion_mode,fold_mae_mean,fold_mae_std
8,image_only,15.297409306680231,5.632335164097435
8,early_concat,15.313493495450386,5.674033487295879
12,early_concat,15.360771753218316,5.866427743178201
5,image_only,15.404061233121093,5.934755159200963
5,early_concat,15.422141140514888,5.763590106087218
5,late_env_branch,15.482400963422052,6.670078610218118
12,image_only,15.527004556831649,5.961969205974857
3,late_env_branch,15.538238684151416,5.917996509067265
8,late_env_branch,15.5471904751641,6.868886601025525
3,early_concat,15.612781335786446,4.93428925114518
10,late_env_branch,15.634672247559243,7.145919716130844
3,image_only,15.653319690278488,4.874930101885879
10,image_only,15.670775501785478,5.781560183896297
10,early_concat,15.78359961439511,5.684838152693049
12,late_env_branch,15.886435218206465,7.134681426771665
